username;title;model;verified;date;region;text;stars;id
V;Lifechanging. Awe-Inspiring.;0;Verified Purchase;March 31, 2024;United States;"
All the homies love corn dogs. Nice quality shirt. Or so bad that it's good. Just buy it.
";5.0;"B0CF4QLHHF
"
Amazon Customer;best shirt ever;0;Verified Purchase;December 28, 2023;United States;"
goat shirt
";5.0;"B0CF4QLHHF
"
