username;title;model;verified;date;region;text;stars;id
As expected ;It was good quality;0;Verified Purchase;February 29, 2024;United States;"
This particular hat it's made with good materials And comes in a very nice box but I wish the sticking in the front of the hat was better it's like u can hardly see it with a new era hat the make the emblem a lot more prominent,  I'm nit picking but when u pay 50 for a hat make the hat look good u can keep the box
";3.0;"B0BPRK9LZH
"
Shawn Johnson;Sold me used;0;;March 1, 2024;United States;"
Sold me a used hat. Tags had been removed. Cardboard insert had been removed.
";1.0;"B0BPRK9LZH
"
