username;title;model;verified;date;region;text;stars;id
Grokkin geek;If you like Nutella, these are great!;0;Verified Purchase;April 14, 2024;United States;"
I really don't care much for Nutella. However, these were a surprise for my wife, who loves the stuff, and she realllllly liked these cookies very much! I used them to help round out a minimum purchase amount for same day shipping, and they were a hit!
";5.0;B0C449R6PX
Lee Ann Jackson;Super tasty;0;Verified Purchase;May 7, 2024;United States;"
Not a big fan of Nutella, but these are really good!!!
";5.0;B0C449R6PX
asdf12;Very tasty;0;Verified Purchase;May 6, 2024;United States;"
Tastes just like you can imagine. Biscuit flavor is also great.
";5.0;B0C449R6PX
Dale;If you braces it’s hard to eat;0;Verified Purchase;May 3, 2024;United States;"
I loved the texture only problem I had was that my braces made it hard to chew
";5.0;B0C449R6PX
Darlene Nedeljkovic;Scrumptious;0;Verified Purchase;April 28, 2024;United States;"
Very tasty snack The texture is crunchy, but soft at the same time Very fresh I could come out in the bag.
";5.0;B0C449R6PX
Indigo;Great product but terrible for delivery - all biscuits broken in pieces!;0;Verified Purchase;April 30, 2024;United States;"
The product itself is delicious. However, the biscuits were broken/smashed upon delivery.
";4.0;B0C449R6PX
missyb;Warning - HIGHLY Addictive!!!;0;Verified Purchase;April 13, 2024;United States;"
I love love love these.  I tell myself I will only eat one serving… the whole bag is gone and I don’t know what happened.  The potato chip slogan of “You can’t eat just one” definitely applies here.  :)
";5.0;B0C449R6PX
Mackenzie Schoettler;So good;0;Verified Purchase;April 24, 2024;United States;"
My kids and myself are obsessed with Nutella, so making it a cookie is even better! Great price for 20 cookies!!!! I will be purchasing more!
";5.0;B0C449R6PX
Lily Bat;DANGEROUSLY DELICIOUS;0;Verified Purchase;April 15, 2024;United States;"
These quite literally took flight out of the pantry, they were so good I had a hard time not eating them. There is a great balance of flavor and texture, can just grab one or the whole bag, and not many were broken even. Will be buying again!
";5.0;B0C449R6PX
BMT;Addictive to say the least;0;Verified Purchase;April 22, 2024;United States;"
This has become our home's new favorite sweet snack! Impossible to eat just one. It arrived as fresh as can be. No issues whatsoever. 5 stars all around!
";5.0;B0C449R6PX
Rizwana Farook;Tasty;0;Verified Purchase;May 2, 2024;United States;"
Idk what I was expecting when I brought these but they are tasty 🤷‍♀️
";5.0;B0C449R6PX
MJ;NUTELLA!;0;Verified Purchase;April 7, 2024;United States;"
I love anything Nutella! However, one of the two bags were completed crushed. If I was planning on gifting the bags, it would have been a concern. But other than that, I love the cookies and will purchase again when I run out!
";4.0;B0C449R6PX
Athena Moore;Bought for my grands;0;Verified Purchase;March 14, 2024;United States;"
My five-year-old granddaughter just tried hazelnut and chocolate combination.  This little girl has found her favorite flavor.  So, we have been trying all kinds of hazelnut and chocolate treats.  Because you can do that at Grandma's house.  She really like these cookies.  It did take her about 5 days to finish the bag.  She wouldn't share with anyone.  I had to stop her from eating them in one day.  She has asked for me to order them again.  I did look for them in the big box stores and could not find them.
";5.0;B0C449R6PX
Victoria Irene Lind;Great Value;0;Verified Purchase;May 1, 2024;United States;"
Good value for the price. Definitely better than I have seen at Costco or Walmart.
";5.0;B0C449R6PX
Donna Berry;Yummy;0;Verified Purchase;April 25, 2024;United States;"
I'm not a big fan of Nutella, however these are delicious.  Just enough chocolate flavor with a delicious cookie.
";5.0;B0C449R6PX
Monchichi;Perfect;0;Verified Purchase;April 29, 2024;United States;"
I love Nutella but I don’t care about cookies that much. These change everything yummy yumyy yum
";5.0;B0C449R6PX
PaPa C;Great Flavor;0;Verified Purchase;April 22, 2024;United States;"
I bought these for my granddaughters lunch. I have now bought about 6 bags because everyone that tastes them wants to take some home.
";5.0;B0C449R6PX
Spanglish-Gal;Love Nutella;0;Verified Purchase;April 8, 2024;United States;"
I love Nutella!!! I bought these cookies to try them & I fell in love with them. B4 I found these cookies I use to make my own with Ovaltine cookies & Nutella, but these are good too. I hope y'all try them at least 1s. Ty,tc & God bless...😊🙋🏽🙏🏽
";5.0;B0C449R6PX
G;Good product;0;Verified Purchase;April 28, 2024;United States;"
Good product good shipment
";4.0;B0C449R6PX
mommaof3;Yummy;0;Verified Purchase;April 29, 2024;United States;"
These are really good, I never have seen them in stores. My kids love them.
";5.0;B0C449R6PX
Alisson Turner;Delish!;0;Verified Purchase;April 28, 2024;United States;"
If you like nutella these are to die for! Such a nice little treat
";5.0;B0C449R6PX
Gary W. Dorrell;Nutella Biskets;0;Verified Purchase;May 7, 2024;United States;"
My wife loved these.
";5.0;B0C449R6PX
Sandra Ann;Very Tasty 😋;0;Verified Purchase;May 9, 2024;United States;"
Very good cookie.
";5.0;B0C449R6PX
Natasha Goldesberry;Daughter loves these;0;Verified Purchase;April 11, 2024;United States;"
Pros: great taste if you like hazelnut. Nice packageCons: not many in the bag
";4.0;B0C449R6PX
Bella;Nutella Biscuits;0;Verified Purchase;April 11, 2024;United States;"
My family loves the Nutella Biscuits.The combination of the chocolate and the crunchy biscuit is so good. I gift them to my family and friends and it always puts a smile on their faces. I highly recommend.
";5.0;B0C449R6PX
CM;Addicting;0;Verified Purchase;April 29, 2024;United States;"
So delicious! Crispy but not hard, buttery and the Nutella is generous
";5.0;B0C449R6PX
Tay;Don’t like Nutella but they’re good!;0;Verified Purchase;May 2, 2024;United States;"
Decent
";4.0;B0C449R6PX
Louie;Tasty and fun to eat.;0;Verified Purchase;April 29, 2024;United States;"
These are very tasty. The chocolate inside makes them so yummy.
";5.0;B0C449R6PX
Chris;Yummy;0;Verified Purchase;May 6, 2024;United States;"
Yummy, favorite treat
";5.0;B0C449R6PX
Trysta;Ok, these are really good;0;Verified Purchase;March 2, 2024;United States;"
I am going to start off by saying I am not a huge Nutella fan. I have always found it to be way too sweet, and it's not something you generally go light on. I decided to give these cookies a try and they were reasonably priced, so why not. If I didn't like them, I'm sure someone else in the house would. I have to say, that these are delicious! They have a really nice shortbread with a buttery taste and crunchy texture, and the center is filled with the right amount of Nutella. This is the perfect balance- just enough Nutella to complement the crisp shortbread. This is a way I can begin to like Nutella!
";5.0;B0C449R6PX
Sandy Harris;Nutella biscuits;0;Verified Purchase;May 8, 2024;United States;"
Fantastic flavor
";5.0;B0C449R6PX
Alexander;que cosa más rica!;0;Verified Purchase;April 26, 2024;United States;"
Son super ricas y adictivas, no son muy dulces.
";5.0;B0C449R6PX
Soukeye Holley;Additive;0;Verified Purchase;April 17, 2024;United States;"
Addictive so be careful because they are very dense in calories and you can eat the entire bag in one day.
";5.0;B0C449R6PX
Deirdra Williams;They didn't crumble in delivery.;0;Verified Purchase;May 5, 2024;United States;"
Very good.
";5.0;B0C449R6PX
Manny Menocal;Deliciously good;0;Verified Purchase;April 18, 2024;United States;"
Some of the best Nutella products. The kids love it and the packaging is great for on the go.
";5.0;B0C449R6PX
Brittany Piro-Capen;Ridiculously addictive 😍;0;Verified Purchase;April 17, 2024;United States;"
I absolutely love these 😍. They are addicting and I will be buying them a lot from now on ❤️.
";5.0;B0C449R6PX
Amazon Customer;Very addicting!;0;Verified Purchase;April 18, 2024;United States;"
These biscuits are soooo good! Very addicting! It was a fun treat to share with my grankids!
";5.0;B0C449R6PX
david;Llegaron perfectas;0;Verified Purchase;April 29, 2024;United States;"
Rapido envio
";5.0;B0C449R6PX
